"line-clamp-1","text-inherit href","[&>em]:bg-blue-100","line-clamp-2","text-inherit href 2","mr-1","truncate","text-xs","text-xs 2","text-xs 3"
"Text Analysis","https://rapidapi.com/extracta-ai-extracta-ai-default/api/resume-parsing-api2/playground","Resume Parsing API","Our solution offers a CV/Resume data extract parser API, adept at handling both structured and unstructured documents. Utilizing OCR technology, it efficiently scans resumes and automates the extraction of decoded information. This smart text file reader is ideal for HR and recruitment, enhancing workflow automation with its batch processing capabilities. It supports PDF and custom file formats, streamlining job candidate analysis and skill recognition through automated data mining and IDP.","https://rapidapi.com/organization/extracta-ai","By Extracta.ai","Updated 4 months ago","9.6","14703ms","100%"
"Text Analysis","https://rapidapi.com/ginger-software-ginger-software-default/api/ginger4/playground","Ginger","Ginger grammar checker - AI-powered grammar checker. Corrects all types of mistakes with high precision and speed.","https://rapidapi.com/organization/ginger-software","By Ginger Software Inc","Updated 1 year ago","9.4","775ms","100%"
"Text Analysis","https://rapidapi.com/yourdevmail/api/google-translate112/playground","Google Translate","Google Translate API offers rapid and accurate multilingual translations. With real-time capabilities, language detection, and text-to-speech conversion, easily integrate fast and reliable translation services into your applications. Expand global reach seamlessly with comprehensive documentation and extensive language support.","https://rapidapi.com/user/yourdevmail","By NextBase","Updated 8 months ago","9.4","919ms","100%"
"Text Analysis","https://rapidapi.com/twinword/api/word-associations/playground","Word Associations","What's another word for this word, phrase, or paragraph? More than just synonyms, related words too!","https://rapidapi.com/user/twinword","By Twinword API","Updated 11 months ago","9.7","628ms","100%"
"Text Analysis","https://rapidapi.com/enrichdata-enrichdata-default/api/skill-gap-analyzer/playground","Skill Gap Analyzer","Skill Gap Analyzer API finds out the gap between the skills mentioned in the resume with those required by the JD. It searches and matches all the skills of the resume with the JD and shows which resumes have the highest skillMatch.","https://rapidapi.com/organization/enrichdata","By enrichdata.io","Updated 2 years ago","","",""
"Text Analysis","https://rapidapi.com/healthytechguy/api/paraphrasing-tool1/playground","Paraphrasing Tool","A paraphrasing tool / article rewriter API that can automatically rewrite sentences, phrases or paragraphs.  This service can  quickly and  easily remove plagiarised material and therefore we do not endorse the use of this tool for unethical applications.","https://rapidapi.com/user/healthytechguy","By Healthy Tech","Updated 3 years ago","9.5","1753ms","100%"
"Text Analysis","https://rapidapi.com/twinword/api/language-scoring/playground","Language Scoring","What's the difficulty level of this article? Evaluate the difficulty level of a word, sentence, or paragraph and compare it with another.","https://rapidapi.com/user/twinword","By Twinword API","Updated 2 years ago","9.6","600ms","100%"
"Text Analysis","https://rapidapi.com/symanto-symanto-default/api/ekman-emotion-analysis/playground","Ekman Emotion Analysis","Detect the emotion expressed in the text.","https://rapidapi.com/organization/symanto","By Symanto","Updated 4 years ago","9.6","871ms","99%"
"Text Analysis","https://rapidapi.com/altanalys/api/text-extract7/playground","Text Extract","Our API extracts text from a URL, provides word count, and retrieves metadata like title, author, and publication date. Perfect for building tools that analyze or process online content efficiently.","https://rapidapi.com/user/altanalys","By altanalys","Updated 8 months ago","9.5","3638ms","100%"
"Text Analysis","https://rapidapi.com/twinword/api/topic-tagging/playground","Topic Tagging","Automatically generate topics and keywords for articles and blogs.","https://rapidapi.com/user/twinword","By Twinword API","Updated 2 years ago","9.5","859ms","100%"
"Text Analysis","https://rapidapi.com/alreadycoded/api/text-summarization13/playground","Text Summarization","This API can summarize any text, articles, or papers down to the key points using AI.","https://rapidapi.com/user/alreadycoded","By alreadycoded","Updated 11 months ago","9.1","1874ms","100%"
"Text Analysis","https://rapidapi.com/twinword/api/category-recommendation/playground","Category Recommendation","Recommend highly related categories for e-commerce and other uses.","https://rapidapi.com/user/twinword","By Twinword API","Updated 2 years ago","9.4","861ms","100%"
"Text Analysis","https://rapidapi.com/my-path-my-path-default/api/resume-parser-and-analyzer/playground","Resume parser and analyzer","An AI-powered multilingual solution for analyzing and enhancing resumes, delivering structured insights and actionable data with speed and precision","https://rapidapi.com/organization/my-path","By MY PATH","Updated 2 months ago","9.3","831ms","71%"
"Text Analysis","https://rapidapi.com/unicornNLP/api/profanity-toxicity-detection-for-user-generated-content/playground","Profanity & Toxicity Detection for User-Generated Content","Profanity & Toxicity Detection for User-Generated Content - Language Understanding API designed to detect profanities, toxicities, severe toxicities, obscene texts, insults, threats, and identity hate","https://rapidapi.com/user/unicornNLP","By CognitiveAPIs","Updated 2 years ago","8.5","642ms","100%"
"Text Analysis","https://rapidapi.com/webspellchecker-llc-webspellchecker-llc-default/api/webspellchecker/playground","WebSpellChecker","WebSpellChecker API provides multi-language spelling, grammar and style checking capabilities for applications.","https://rapidapi.com/organization/webspellchecker-llc","By WebSpellChecker_","Updated 1 year ago","9.6","1206ms","100%"
"Text Analysis","https://rapidapi.com/seo-review-tools-seo-review-tools-default/api/seo-keywords/playground","SEO Keywords","Discover keyword suggestions and directly related keywords to perform in-depth keyword research. And select the keywords that are relevant to your product or service to drive more traffic to your website.","https://rapidapi.com/organization/seo-review-tools","By SEO Review Tools","Updated 3 years ago","9.1","1675ms","100%"
"Text Analysis","https://rapidapi.com/micaelbh/api/text-extract-from-url/playground","Text Extract from URL","This API Extracts the main text from any url.The returns are the title, main content and adress url.
Scrapper Sites and URLs, returning the main text.","https://rapidapi.com/user/micaelbh","By MP Apis","Updated 4 months ago","9.1","1747ms","71%"
"Text Analysis","https://rapidapi.com/sibaridev/api/ultra-fast-translation/playground","Ultra Fast Translation","We developed a Ultra Fast Translation API that allow you translate multi texts in one fast query, wish help you improve response time and your service quality. 	The Ultra Fast Translation API makes advantage of Google's neural machine translation technology to translate html, text, words, phrases, and paragraphs in real time across more than +100 languages. Example: https://codepen.io/oussamasibari/pen/JjLLxxv","https://rapidapi.com/user/sibaridev","By oussama sibari","Updated 3 years ago","9.4","151ms","100%"
"Text Analysis","https://rapidapi.com/detect-language-api-detect-language-api-default/api/language-detection-2/playground","Language Detection","Fast, reliable language identification API. Detect 164 languages. Supports short & long texts, batch requests.","https://rapidapi.com/organization/detect-language-api","By detectlanguage.com","Updated 2 months ago","9.5","33ms","100%"
"Text Analysis","https://rapidapi.com/apininjas/api/profanity-filter-by-api-ninjas/playground","Profanity Filter by API-Ninjas","Detect and censor bad words in text. See more info at https://api-ninjas.com/api/profanityfilter","https://rapidapi.com/user/apininjas","By API Ninjas Team","Updated 2 years ago","9.6","503ms","100%"
"Text Analysis","https://rapidapi.com/apikite/api/url-metadata-opengraph/playground","Url Metadata: OpenGraph","Retrieve comprehensive site metadata effortlessly with our powerful Site Metadata API. Access a wealth of information about any web page, including OpenGraph tags, page title, description, author, image, and more. Whether you're building a content aggregator, social media tool, or SEO analytics platform, our API provides a streamlined solution to gather rich site metadata. Enrich your applications with valuable insights and enhance user experiences using our Site Metadata API.","https://rapidapi.com/user/apikite","By APIKite","Updated 1 year ago","0.1","14ms",""
"Text Analysis","https://rapidapi.com/healthytechguy/api/plagiarism-remover/playground","Plagiarism Remover","Plagiarism remover uses an advanced machine learning algorithm to replace words and phrases in your text to make it unique","https://rapidapi.com/user/healthytechguy","By Healthy Tech","Updated 5 years ago","","",""
"Text Analysis","https://rapidapi.com/APIShokunin/api/mylanguagedetectorapi/playground","MyLanguageDetectorAPI","A fast and accurate API for detecting the language of any text input, supporting over 50 languages with confidence scores.","https://rapidapi.com/user/APIShokunin","By API Shokunin","Updated 1 month ago","","",""
"Text Analysis","https://rapidapi.com/micaelbh/api/rephraser-text-and-spintax/playground","Rephraser Text and Spintax","With this api it is possible to rewrite texts quickly generating several versions.
It is also possible to generate spintax for different texts.","https://rapidapi.com/user/micaelbh","By MP Apis","Updated 1 week ago","9","1421ms","100%"
"Text Analysis","https://rapidapi.com/dexter123/api/string-similarity-comparison/playground","String Similarity Comparison","Compare strings according to different algorithms like Jaro-Winkler, Dice, Levenshtein.

If you need any special resource, please contact me.","https://rapidapi.com/user/dexter123","By dexter","Updated 2 years ago","8.3","391ms","100%"
"Text Analysis","https://rapidapi.com/micaelbh/api/pdf-to-text-extract/playground","PDF To Text Extract","Use this API to convert your PDF file into text or words! 
Quickly and simply extract the plain text from a PDF.","https://rapidapi.com/user/micaelbh","By MP Apis","Updated 3 weeks ago","8.6","1896ms","67%"
"Text Analysis","https://rapidapi.com/Enzipe/api/paraphraser-apis/playground","Paraphraser apis","The paraphraser API can automatically paraphrase sentences, phrases, or paragraphs like professional writers with state-of-the-art AI Paraphraser. We do not recommend using this tool for unethical use as this service can quickly and easily remove plagiarized material.","https://rapidapi.com/user/Enzipe","By Enzipe","Updated 3 years ago","","",""
"Text Analysis","https://rapidapi.com/Webinfo/api/optimize_text/playground","Optimize_text","Text Optimization Tool, to rank higher in search engine results.","https://rapidapi.com/user/Webinfo","By PY","Updated 3 years ago","8.7","4046ms","94%"
"Text Analysis","https://rapidapi.com/info-3fkCUbmztr4/api/ocr-text-extraction/playground","OCR Text extraction","Extract text from various formats like images or PDF files","https://rapidapi.com/user/info-3fkCUbmztr4","By Ingo Janßen","Updated 1 year ago","8.9","519ms","100%"
"Text Analysis","https://rapidapi.com/linguatools/api/linguatools-english-collocations/playground","Linguatools English Collocations","Looks up a word in a dictionary and returns all collocations","https://rapidapi.com/user/linguatools","By linguatools","Updated 1 year ago","9.5","520ms","91%"
"Text Analysis","https://rapidapi.com/artemsementsov/api/article-data-extraction-and-summarization/playground","Article Data Extraction and Summarization","Extracts clean text and other meaningful data from news, blogs, articles, and other pages. Supports all languages
Summarizes text using semantic analyze. Supports all languages. Including English, Spanish, French, Chinese, Hindi, Bengali, Portuguese, Russian, German and many more","https://rapidapi.com/user/artemsementsov","By Best API Inc","Updated 11 months ago","9.6","1224ms","100%"
"Text Analysis","https://rapidapi.com/bpt22/api/phone-number-analyzer/playground","Phone Number Analyzer","Find phone number lookup in text, get info about number, hide number in text.
Retrieve detailed insights on phone numbers information, detect numbers within text, and ensure data privacy by obscuring visible numbers. Perfect for business, data privacy, and communication applications.","https://rapidapi.com/user/bpt22","By espresso","Updated 8 months ago","9.6","110ms","100%"
"Text Analysis","https://rapidapi.com/rogerhokp/api/youtube-summarizer1/playground","Youtube Summarizer","This API service is designed to provide users with quick and accurate summaries of YouTube video content. Our service analyzes the speech data within videos and generates concise, easy-to-understand content summaries.

**Know Issue. Because of Rapid Gateway max timeout is 3min. It will fail to generate a long duration vidoe (eg: 1hr video).  We are working on the workaround","https://rapidapi.com/user/rogerhokp","By HO Kin Pan","Updated 1 month ago","9.3","13484ms","85%"
"Text Analysis","https://rapidapi.com/aideatechnologies/api/ordercard-reader/playground","OrderCard Reader","The OrderCard Reader Service is a cutting-edge solution designed to seamlessly capture, interpret, and process data from OrderCards.","https://rapidapi.com/user/aideatechnologies","By AIDeaTechnologies","Updated 10 months ago","8.6","34070ms","95%"
"Text Analysis","https://rapidapi.com/symanto-symanto-default/api/sentiment-analysis9/playground","Sentiment Analysis","Detect whether a text is positive or negative.","https://rapidapi.com/organization/symanto","By Symanto","Updated 3 years ago","9.7","628ms","100%"
"Text Analysis","https://rapidapi.com/metaapi-metaapi-default/api/gender-from-name/playground","Gender From Name","Find the gender by just using a name.","https://rapidapi.com/organization/metaapi","By MetaAPI","Updated 2 years ago","9.3","479ms","63%"
"Text Analysis","https://rapidapi.com/Alejandro99aru/api/nsfw-text-detection/playground","NSFW Text Detection","The Explicit Content Detection API is a powerful tool designed to analyze text and identify potentially Not Safe For Work (NSFW) content. With state-of-the-art natural language processing algorithms, this API scans text inputs to determine the presence of explicit or inappropriate language, ensuring a safer and more user-friendly online environment.","https://rapidapi.com/user/Alejandro99aru","By Alejandro99aru","Updated 1 year ago","9.6","1131ms","100%"
"Text Analysis","https://rapidapi.com/drhema/api/quillbot-alternative-advanced-paraphrasing/playground","Quillbot Alternative Advanced Paraphrasing","Quillbot Alternative advanced paraphrasing API, supporting all languages and delivering AI-powered, to elevate clarity, creativity, and engagement in every sentence","https://rapidapi.com/user/drhema","By SEO APIs","Updated 1 year ago","0.1","481ms","6%"
"Text Analysis","https://rapidapi.com/apininjas/api/text-language-by-api-ninjas/playground","Text Language by API-Ninjas","Detect the language from any input text. See more info at https://api-ninjas.com/api/textlanguage.","https://rapidapi.com/user/apininjas","By API Ninjas Team","Updated 2 years ago","9","299ms","100%"
"Text Analysis","https://rapidapi.com/twinword/api/word-quiz/playground","Word Quiz","Vocabulary test with levels and exam-specific words (SAT, GMAT, etc). Customized word association quiz for game and e-learning software.","https://rapidapi.com/user/twinword","By Twinword API","Updated 11 months ago","9.6","690ms","100%"
"Text Analysis","https://rapidapi.com/readable-readable-default/api/extract-content-from-url/playground","Extract Content from URL","Feed this API a URL and it will go and extract the page content. Just the content - no navigation, comments, headers or footers.","https://rapidapi.com/organization/readable","By Added Bytes","Updated 4 years ago","9.2","713ms","100%"
"Text Analysis","https://rapidapi.com/chavanritesh20/api/language-detection-api1/playground","Language Detection API","Language Detection is a web based Deep Neural Network (DNN) language identification model, utilizing Python and TensorFlow. It uses character n-grams to classify text input languages efficiently. Insights into the network's language differentiation process are provided through t-SNE and PCA visualizations.","https://rapidapi.com/user/chavanritesh20","By Ritesh Chavan","Updated 2 years ago","","",""
"Text Analysis","https://rapidapi.com/seoprof/api/keyword-density/playground","Keyword Density","Get keyword density analyzing a text. Discover how many times your keyword is occurring on any article, so that you can better optimize your page for SEO or other text analysis.","https://rapidapi.com/user/seoprof","By seoprof","Updated 3 years ago","","",""
"Text Analysis","https://rapidapi.com/symanto-symanto-default/api/aspect-based-sentiment-analysis/playground","Aspect Based Sentiment Analysis","Detect topics, topic category of each topic, and then analyze the sentiment towards each of the topics mentioned.","https://rapidapi.com/organization/symanto","By Symanto","Updated 4 years ago","9.4","6508ms","100%"
"Text Analysis","https://rapidapi.com/logicione/api/entity-and-sentiment-extractor/playground","Entity and Sentiment Extractor","Multilingual  Sentiment, Entity extraction, and disambiguation for cheap and at a scale. 
Entity (Person, Organization, Address, Price, etc) extraction, disambiguation, and resolution to a wiki page.","https://rapidapi.com/user/logicione","By API","Updated 2 years ago","8.7","238ms","100%"
"Text Analysis","https://rapidapi.com/docxtract/api/docxtract1/playground","Docxtract","API for text extraction. Retrieve text content from PDF, DOC/DOCX, PPT/PPTX, TXT,  MD, and HTML.","https://rapidapi.com/user/docxtract","By docxtract","Updated 2 years ago","9.6","2735ms","97%"
"Text Analysis","https://rapidapi.com/enrichdata-enrichdata-default/api/mask-your-resume/playground","Mask Your Resume","Mask Your Resume API helps in removing unconscious bias from the recruitment process by allowing recruiters to select candidates based on skills and experience.","https://rapidapi.com/organization/enrichdata","By enrichdata.io","Updated 2 years ago","","",""
"Text Analysis","https://rapidapi.com/bpt22/api/price-analyzer/playground","Price Analyzer","Detect prices and currencies seamlessly from textual content. Enhance data parsing for business insights. Efficiently extract prices and associated currencies from any given text. Ideal for e-commerce, financial analytics, and data mining applications.","https://rapidapi.com/user/bpt22","By espresso","Updated 2 years ago","8.9","98ms","100%"
"Text Analysis","https://rapidapi.com/bpt22/api/date-analyzer/playground","Date Analyzer","Convert dates from any format into machine-readable forms. Supports 200+ language locales and a vast array of date formats, both absolute and relative.","https://rapidapi.com/user/bpt22","By espresso","Updated 2 years ago","9.1","103ms","100%"
"Text Analysis","https://rapidapi.com/bpt22/api/language-detection20/playground","Language Detection","Instantly identify the language of any text with high accuracy. Integrate seamlessly into your applications and platforms for real-time language identification.","https://rapidapi.com/user/bpt22","By espresso","Updated 2 years ago","8.8","103ms","100%"
"Text Analysis","https://rapidapi.com/azettl/api/analyze-text1/playground","Analyze Text","With this API you will get the Flesch Kincaid Grade Level, Gunning Fog Score, SMOG Index, Word count, and much more!","https://rapidapi.com/user/azettl","By Andreas","Updated 5 years ago","9.3","978ms","100%"
"Text Analysis","https://rapidapi.com/textapi/api/textapi/playground","TextAPI","A text extraction, manipulation, and analysis api. Putting the power of natural language processing (nlp) in every developers hands.","https://rapidapi.com/user/textapi","By textapi","Updated 5 years ago","9.5","21420ms","68%"
"Text Analysis","https://rapidapi.com/symanto-symanto-default/api/personality-traits/playground","Personality Traits","Predict the personality traits based on written text.","https://rapidapi.com/organization/symanto","By Symanto","Updated 3 years ago","9.4","690ms","100%"
"Text Analysis","https://rapidapi.com/linguatools/api/linguatools-sentence-generating/playground","Linguatools Sentence Generating","An API for generating English sentences for a given input.","https://rapidapi.com/user/linguatools","By linguatools","Updated 1 year ago","8.3","727ms","100%"
"Text Analysis","https://rapidapi.com/genius-tools-genius-tools-default/api/grammar-genius/playground","Grammar Genius","Grammar Genius is the latest product by Genius Tools. Correct your sentence structure, verb usage, and improve the quality of your sentences using state of the art AI.

While there is no enforced word limit, we recommend limiting your requests to ~15,000 words and under per request, to avoid timeouts.

Want other forms of natural language processing? Check out our verified Paraphrase Genius! https://rapidapi.com/organization/genius-tools

Last Updated: 2023-06-24 — Fixed an error & sped up gr...","https://rapidapi.com/user/genius-tools-genius-tools-default","By Genius Tools","Updated 2 years ago","9.1","9216ms","75%"
"Text Analysis","https://rapidapi.com/phinguyen/api/whats-language/playground","What's Language","Detect the language of a given text","https://rapidapi.com/user/phinguyen","By phinguyen","Updated 5 years ago","9.3","2020ms","93%"
"Text Analysis","https://rapidapi.com/rizzards-of-oz-rizzards-of-oz-default/api/random-alphabet/playground","Random Alphabet","Generate random alphabet","https://rapidapi.com/user/rizzards-of-oz-rizzards-of-oz-default","By API Chief Dev Team","Updated 11 months ago","","",""
"Text Analysis","https://rapidapi.com/ExoWatts/api/keyword-extraction5/playground","Keyword Extraction","Extract the most relevant words and expressions from text.","https://rapidapi.com/user/ExoWatts","By ExoWatts","Updated 3 years ago","","",""
"Text Analysis","https://rapidapi.com/rekinm-lnlYQT00U1z/api/mobile-phone-validation/playground","Mobile phone validation","Extract and validate mobile/cell/phone numbers from text, get extra info and various number formats.","https://rapidapi.com/user/rekinm-lnlYQT00U1z","By vaRDas","Updated 2 years ago","9.4","426ms","100%"
"Text Analysis","https://rapidapi.com/laurent75/api/text-moderation2/playground","Text Moderation","Use our AI-powered Multilingual Text Moderation API to flag text containing hate, threats, self-harm, sexual content involving minors, violence, and graphic violence.","https://rapidapi.com/user/laurent75","By laurent75","Updated 2 years ago","","",""
"Text Analysis","https://rapidapi.com/StaticAPI/api/spellout/playground","Spellout","This API allows converting numbers to written form in any language.
For example, 1234 is converted to:
* “one thousand two hundred thirty-four” in English
* ""mille deux cent trente-quatre"" in French
* ""mil doscientos treinta y cuatro"" in Spanish","https://rapidapi.com/user/StaticAPI","By StaticAPI","Updated 1 year ago","9.4","151ms","100%"
